age,position,games_played,games_started,minutes,rebounds,assists,steals,blocks,turnovers,fouls,points,trip_dbl,all_star
29,C,80,53,1684,266,95,35,37,139,161,836,0,0
30,C,82,36,1710,268,74,28,29,124,175,650,0,0
31,PF,54,0,586,109,29,7,10,55,64,175,0,0
32,C,50,1,474,77,21,14,7,34,50,99,0,0
24,PF,54,34,1104,303,33,22,10,57,151,339,0,0
25,PF,31,0,144,52,3,7,3,10,29,40,0,0
23,PG,27,0,361,23,70,12,0,29,29,60,0,0
24,PG,37,2,288,31,68,13,0,20,27,77,0,0
25,PG,50,7,600,72,143,32,2,40,42,177,0,0
26,PG,47,4,980,107,192,38,15,86,120,366,0,0
27,PG,82,28,2581,226,372,114,18,128,212,838,0,0
28,PG,80,78,2717,279,514,118,7,170,212,1136,0,0
29,PG,63,63,2431,255,425,101,15,157,194,761,0,0
30,PG,82,82,3040,282,444,129,10,170,195,1088,0,0
31,PG,74,74,2526,260,392,98,18,160,139,969,0,0
32,PG,77,76,2447,227,406,108,10,140,135,900,0,0
32,PG,48,48,1591,144,258,57,7,88,72,552,0,0
32,PG,29,28,856,83,148,51,3,52,63,348,0,0
33,PG,52,38,1421,129,176,50,10,95,103,427,1,0
33,PG,27,13,766,75,104,27,5,61,50,262,1,0
33,PG,25,25,655,54,72,23,5,34,53,165,0,0
20,SF,81,14,1452,267,60,59,25,103,121,457,0,0
21,SF,66,21,1477,308,66,59,34,91,136,399,0,0
22,SF,76,71,2066,585,103,92,51,116,153,555,0,0
23,SF,80,65,2045,496,114,82,38,88,147,572,0,0
24,SF,74,3,1366,342,59,70,62,55,137,412,0,0
25,SF,82,82,2341,499,138,72,53,120,171,839,0,0
26,PF,61,25,1773,451,99,60,44,94,102,532,0,0
27,PF,69,67,2072,525,84,79,40,79,136,644,0,0
28,PF,81,81,2292,610,104,68,33,72,143,760,0,0
29,PF,18,2,380,87,21,18,8,17,27,78,0,0
30,PF,6,3,93,21,11,7,3,8,3,19,0,0
24,PF,11,0,89,28,1,1,8,5,15,16,0,0
24,PF,1,0,2,0,0,0,0,0,0,0,0,0
24,PF,10,0,87,28,1,1,8,5,15,16,0,0
25,PF,16,0,64,12,0,1,1,2,13,18,0,0
26,PF,76,0,1044,270,28,32,65,56,154,321,0,0
27,PF,79,0,1168,346,31,24,73,57,169,371,0,0
28,PF,46,7,691,185,17,14,33,24,87,200,0,0
29,PF,60,0,753,222,14,27,44,45,125,213,0,0
30,PF,39,0,372,106,11,16,12,19,53,76,0,0
30,PF,20,0,161,47,3,7,6,11,26,32,0,0
30,PF,1,0,2,1,0,0,0,0,0,0,0,0
30,PF,18,0,209,58,8,9,6,8,27,44,0,0
31,PF,19,0,185,55,6,9,11,14,49,38,0,0
31,PF,18,0,184,55,6,9,11,14,49,38,0,0
31,PF,1,0,1,0,0,0,0,0,0,0,0,0
32,PF,53,35,937,268,70,22,52,62,126,259,0,0
32,PF,12,0,79,20,5,1,0,5,11,11,0,0
32,PF,41,35,858,248,65,21,52,57,115,248,0,0
33,PF,29,0,204,49,12,6,7,15,44,52,0,0
29,C,63,0,891,208,44,15,12,37,119,367,0,0
30,PF,40,0,373,84,13,5,9,22,40,134,0,0
30,PF,11,0,150,34,7,3,3,8,11,56,0,0
30,PF,29,0,223,50,6,2,6,14,29,78,0,0
23,C,24,1,262,76,7,7,28,13,35,72,0,0
